,trial,n,r,SNR,mode,slices,alpha,beta,delta,gamma,time,rel_error,matrix budget,total budget,revealed
783,3,200,20,inf,sandwich,2,2.0,0.66,4.0,0.105,599.2644156310707,0.0143529392668769,11790,39544,0.004943
784,4,200,20,inf,sandwich,2,2.0,0.66,4.0,0.105,600.9561005709693,0.0069147229198566,11790,39525,0.004940625
785,5,200,20,inf,sandwich,2,2.0,0.66,4.0,0.105,600.6904482729733,0.0090470851655007,11790,39538,0.00494225
786,6,200,20,inf,sandwich,2,2.0,0.66,4.0,0.105,603.5176558857784,0.010794846332516,11790,39529,0.004941125
787,7,200,20,inf,sandwich,2,2.0,0.66,4.0,0.105,599.8959382465109,0.0073003727823718,11790,39543,0.004942875
788,8,200,20,inf,sandwich,2,2.0,0.66,4.0,0.105,600.2133713578805,0.0084830350218386,11790,39531,0.004941375
789,9,200,20,inf,sandwich,2,2.0,0.66,4.0,0.105,600.8017972670496,0.0068381074646658,11790,39539,0.004942375
810,0,200,5,inf,sandwich,2,2.0,0.66,4.0,0.14,607.7451139651239,0.0871731039436212,3930,11858,0.00148225
811,1,200,5,inf,sandwich,2,2.0,0.66,4.0,0.14,617.6098877843469,0.0537974420694797,3930,11856,0.001482
812,2,200,5,inf,sandwich,2,2.0,0.66,4.0,0.14,603.0273768529296,0.0683540198705705,3930,11857,0.001482125
813,3,200,5,inf,sandwich,2,2.0,0.66,4.0,0.14,601.004178121686,0.0350190222050915,3930,11857,0.001482125
814,4,200,5,inf,sandwich,2,2.0,0.66,4.0,0.14,603.290927439928,0.0403212167477778,3930,11858,0.00148225
815,5,200,5,inf,sandwich,2,2.0,0.66,4.0,0.14,601.4841543342918,0.0222446814890919,3930,11853,0.001481625
816,6,200,5,inf,sandwich,2,2.0,0.66,4.0,0.14,604.2889763284475,0.0855806616939098,3930,11854,0.00148175
817,7,200,5,inf,sandwich,2,2.0,0.66,4.0,0.14,603.9702301174402,0.2465982664857795,3930,11857,0.001482125
818,8,200,5,inf,sandwich,2,2.0,0.66,4.0,0.14,599.8907534517348,0.0466108374252949,3930,11854,0.00148175
819,9,200,5,inf,sandwich,2,2.0,0.66,4.0,0.14,606.4913868121803,0.0612676789914546,3930,11857,0.001482125
830,0,200,20,inf,sandwich,2,2.0,0.66,4.0,0.315,532.4581415299326,0.0001478775866966,35371,86588,0.0108235
831,1,200,20,inf,sandwich,2,2.0,0.66,4.0,0.315,533.7683522906154,0.0002825887704882,35371,86596,0.0108245
832,2,200,20,inf,sandwich,2,2.0,0.66,4.0,0.315,533.3957751635462,0.0006862702699495,35371,86600,0.010825
833,3,200,20,inf,sandwich,2,2.0,0.66,4.0,0.315,533.2240535318851,0.0002371445335751,35371,86613,0.010826625
834,4,200,20,inf,sandwich,2,2.0,0.66,4.0,0.315,531.7762043122202,0.0001830010922451,35371,86600,0.010825
835,5,200,20,inf,sandwich,2,2.0,0.66,4.0,0.315,534.449073523283,0.0001674999328165,35371,86597,0.010824625
836,6,200,20,inf,sandwich,2,2.0,0.66,4.0,0.315,532.4902850519866,6.375278019739266e-05,35371,86619,0.010827375
837,7,200,20,inf,sandwich,2,2.0,0.66,4.0,0.315,533.5984867308289,0.0004033795342413,35371,86606,0.01082575
838,8,200,20,inf,sandwich,2,2.0,0.66,4.0,0.315,534.7133800107986,0.0003411047755339,35371,86612,0.0108265
839,9,200,20,inf,sandwich,2,2.0,0.66,4.0,0.315,534.4001290705055,5.411929935969625e-05,35371,86593,0.010824125
850,0,200,5,inf,sandwich,2,2.0,0.66,4.0,0.7,559.4962677210569,6.813057500233164e-05,19651,43280,0.00541
851,1,200,5,inf,sandwich,2,2.0,0.66,4.0,0.7,550.814796468243,2.1572227644244024e-05,19651,43287,0.005410875
852,2,200,5,inf,sandwich,2,2.0,0.66,4.0,0.7,560.0945934001356,0.0001411778839295,19651,43284,0.0054105
853,3,200,5,inf,sandwich,2,2.0,0.66,4.0,0.7,560.5158233419061,4.178861627801784e-05,19651,43289,0.005411125
854,4,200,5,inf,sandwich,2,2.0,0.66,4.0,0.7,559.666968556121,2.9826762672937796e-05,19651,43278,0.00540975
855,5,200,5,inf,sandwich,2,2.0,0.66,4.0,0.7,557.4585547335446,8.484814387546728e-05,19651,43282,0.00541025
856,6,200,5,inf,sandwich,2,2.0,0.66,4.0,0.7,557.2377378307283,1.971143978068475e-05,19651,43279,0.005409875
857,7,200,5,inf,sandwich,2,2.0,0.66,4.0,0.7,556.6394266244024,0.0001048535422441,19651,43282,0.00541025
858,8,200,5,inf,sandwich,2,2.0,0.66,4.0,0.7,559.7567602172494,5.007879681293979e-05,19651,43280,0.00541
859,9,200,5,inf,sandwich,2,2.0,0.66,4.0,0.7,559.440624890849,4.389602617427533e-05,19651,43291,0.005411375
