,trial,n,r,SNR,mode,alpha,slices,beta,delta,gamma,max_iter,total budget,revealed,time,rel_error_sand,rel_error_tc_final
189,9,200,20,inf,kron_alt,2,2,0.66,4.0,0.28,10,78752,0.009844,1939.9232755135745,0.0001974713162357,166.81099669836078
190,0,200,5,inf,kron_alt,2,2,0.66,4.0,0.7,10,43283,0.005410375,528.7424640785903,6.70956649306712e-05,5.3851898773449546e-08
191,1,200,5,inf,kron_alt,2,2,0.66,4.0,0.7,10,43289,0.005411125,525.8740627504885,0.0001017350734669,5.0165183166408174e-08
192,2,200,5,inf,kron_alt,2,2,0.66,4.0,0.7,10,43281,0.005410125,524.6433969121426,2.168716036670679e-05,2.317461452465255e-07
193,3,200,5,inf,kron_alt,2,2,0.66,4.0,0.7,10,43287,0.005410875,527.0067126844078,2.3376918374251142e-05,1.068019077824449e-07
194,4,200,5,inf,kron_alt,2,2,0.66,4.0,0.7,10,43283,0.005410375,526.4844671711326,7.886417133190111e-05,1.5541732806178922e-07
195,5,200,5,inf,kron_alt,2,2,0.66,4.0,0.7,10,43281,0.005410125,525.5065999198705,2.766599579143257e-05,9.759479511769449e-08
196,6,200,5,inf,kron_alt,2,2,0.66,4.0,0.7,10,43281,0.005410125,525.3191820308566,0.0002198684427136,6.811821704201026e-08
197,7,200,5,inf,kron_alt,2,2,0.66,4.0,0.7,10,43271,0.005408875,526.0520891156048,4.490765179717327e-05,0.0165789151139588
198,8,200,5,inf,kron_alt,2,2,0.66,4.0,0.7,10,43282,0.00541025,524.3224124200642,5.332385090326274e-05,8.966018131108741e-08
199,9,200,5,inf,kron_alt,2,2,0.66,4.0,0.7,10,43284,0.0054105,524.778969630599,1.4051943401245388e-05,1.227348175780463e-07
200,0,200,15,inf,kron_alt,2,2,0.66,4.0,0.25,10,54034,0.00675425,1540.5730186640285,0.0002805848949441,1.0444752768309962
201,1,200,15,inf,kron_alt,2,2,0.66,4.0,0.25,10,54044,0.0067555,1543.196498817997,0.0002502267264831,0.2025346395562393
202,2,200,15,inf,kron_alt,2,2,0.66,4.0,0.25,10,54039,0.006754875,1599.4164325098973,0.0017375835639731,1.5437796467466094
203,3,200,15,inf,kron_alt,2,2,0.66,4.0,0.25,10,54050,0.00675625,1569.3309449370718,0.0002439636584759,1.0789757994070082
204,4,200,15,inf,kron_alt,2,2,0.66,4.0,0.25,10,54046,0.00675575,1612.072236670996,9.216636414039686e-05,1.7657761505796372
205,5,200,15,inf,kron_alt,2,2,0.66,4.0,0.25,10,54017,0.006752125,1551.290115287993,0.0002435220676016,1.760352550973627
206,6,200,15,inf,kron_alt,2,2,0.66,4.0,0.25,10,54044,0.0067555,1558.1541639770148,0.0013019302814327,0.1748616630731906
207,7,200,15,inf,kron_alt,2,2,0.66,4.0,0.25,10,54031,0.006753875,1567.427528526052,0.0004009796514312,1.429889484809206
208,8,200,15,inf,kron_alt,2,2,0.66,4.0,0.25,10,54046,0.00675575,1544.4229836030863,0.0009745792200451,1.2103155494688742
209,9,200,15,inf,kron_alt,2,2,0.66,4.0,0.25,10,54039,0.006754875,1561.229608834954,0.000204020166646,0.1581624333826189
210,0,200,15,inf,kron_alt,2,2,0.66,4.0,0.05,10,20403,0.002550375,917.5930863171816,0.0402424005108025,5157.465268646115
211,1,200,15,inf,kron_alt,2,2,0.66,4.0,0.05,10,20408,0.002551,912.8262216057628,0.4604857726603075,1345.548716641809
212,2,200,15,inf,kron_alt,2,2,0.66,4.0,0.05,10,20408,0.002551,915.9095604438336,0.1030256704827184,129.06983948214983
213,3,200,15,inf,kron_alt,2,2,0.66,4.0,0.05,10,20400,0.00255,921.7502935826778,0.0733065129135754,389.3128616908723
214,4,200,15,inf,kron_alt,2,2,0.66,4.0,0.05,10,20416,0.002552,906.9024624563754,0.1808475085030417,420.1265796991263
215,5,200,15,inf,kron_alt,2,2,0.66,4.0,0.05,10,20410,0.00255125,909.4051530361176,0.0724940014353107,1442.9084697041542
216,6,200,15,inf,kron_alt,2,2,0.66,4.0,0.05,10,20412,0.0025515,908.4449232611804,0.0731179726737103,2023.374621984917
217,7,200,15,inf,kron_alt,2,2,0.66,4.0,0.05,10,20401,0.002550125,917.51231431216,0.1167127625290033,221.34405243377745
218,8,200,15,inf,kron_alt,2,2,0.66,4.0,0.05,10,20408,0.002551,913.0725713316352,0.0940083619728882,2005.1103487828475
219,9,200,15,inf,kron_alt,2,2,0.66,4.0,0.05,10,20407,0.002550875,908.4187656268476,0.1078111509569888,370.95525099162944
220,0,200,20,inf,kron_alt,2,2,0.66,4.0,0.4,10,95840,0.01198,2119.788854919374,0.0002556055601398,0.065101725495545
221,1,200,20,inf,kron_alt,2,2,0.66,4.0,0.4,10,95840,0.01198,2152.2672886345536,0.0007576178549163,1.072118826362169
222,2,200,20,inf,kron_alt,2,2,0.66,4.0,0.4,10,95840,0.01198,2125.8363109976053,0.0031985378891072,0.0491826173047218
223,3,200,20,inf,kron_alt,2,2,0.66,4.0,0.4,10,95840,0.01198,2145.5253473855555,0.0006815367662664,0.0497503844572142
224,4,200,20,inf,kron_alt,2,2,0.66,4.0,0.4,10,95840,0.01198,2160.808873143047,0.0015553236377,0.0702657135394881
225,5,200,20,inf,kron_alt,2,2,0.66,4.0,0.4,10,95840,0.01198,2128.824040338397,0.0001703510945073,0.0601427617599912
226,6,200,20,inf,kron_alt,2,2,0.66,4.0,0.4,10,95840,0.01198,2135.932767180726,6.268536433572899e-05,0.1095051776505042
227,7,200,20,inf,kron_alt,2,2,0.66,4.0,0.4,10,95840,0.01198,2138.4869279526174,0.0060039513953853,0.0429463287934356
228,8,200,20,inf,kron_alt,2,2,0.66,4.0,0.4,10,95840,0.01198,2116.500641496852,9.579269153077506e-05,0.0930760028529871
229,9,200,20,inf,kron_alt,2,2,0.66,4.0,0.4,10,95840,0.01198,2105.3237468898296,7.649760024134298e-05,0.0609903003465481
230,0,200,5,inf,kron_alt,2,2,0.66,4.0,0.84,10,51138,0.00639225,586.1884446088225,0.0005869161767655,1.2019570528459521e-08
231,1,200,5,inf,kron_alt,2,2,0.66,4.0,0.84,10,51140,0.0063925,565.729012221098,0.0001254239334366,2.2694502813281483e-08
232,2,200,5,inf,kron_alt,2,2,0.66,4.0,0.84,10,51134,0.00639175,563.8556246738881,8.075265952626475e-06,2.576801492452697e-08
233,3,200,5,inf,kron_alt,2,2,0.66,4.0,0.84,10,51134,0.00639175,559.4739290308207,2.0461437531773384e-05,1.960344032323912e-08
234,4,200,5,inf,kron_alt,2,2,0.66,4.0,0.84,10,51136,0.006392,585.2916670441628,7.5321554983240864e-06,1.8390858713091197e-08
235,5,200,5,inf,kron_alt,2,2,0.66,4.0,0.84,10,51141,0.006392625,593.9096140917391,6.489585641781101e-05,9.836146515706896e-09
236,6,200,5,inf,kron_alt,2,2,0.66,4.0,0.84,10,51131,0.006391375,596.9282234422863,0.0001153766974659,3.3683480238168776e-08
237,7,200,5,inf,kron_alt,2,2,0.66,4.0,0.84,10,51139,0.006392375,597.6240523587912,5.601634367483158e-05,3.2928445879177896e-08
238,8,200,5,inf,kron_alt,2,2,0.66,4.0,0.84,10,51139,0.006392375,572.5975573956966,0.000165139954167,1.0687761884461925e-08
239,9,200,5,inf,kron_alt,2,2,0.66,4.0,0.84,10,51138,0.00639225,572.7573043555021,3.002338321133859e-05,2.0079200244119003e-08
240,0,200,10,inf,kron_alt,2,2,0.66,4.0,0.35,10,47265,0.005908125,651.2713884487748,2.2077220941861885e-05,5.6836723499724245e-05
241,1,200,10,inf,kron_alt,2,2,0.66,4.0,0.35,10,47253,0.005906625,652.079537153244,0.000246164938019,9.9826793476281e-05
242,2,200,10,inf,kron_alt,2,2,0.66,4.0,0.35,10,47264,0.005908,654.4694819878787,0.0022504179027167,0.004743991593613
243,3,200,10,inf,kron_alt,2,2,0.66,4.0,0.35,10,47261,0.005907625,649.6159812361002,0.0005454515775036,0.0001823090666488
244,4,200,10,inf,kron_alt,2,2,0.66,4.0,0.35,10,47249,0.005906125,651.0241750925779,0.000324209449987,8.202654125071351e-05
245,5,200,10,inf,kron_alt,2,2,0.66,4.0,0.35,10,47261,0.005907625,652.4540859181434,0.0001790190286601,2.6280208589317408e-05
246,6,200,10,inf,kron_alt,2,2,0.66,4.0,0.35,10,47261,0.005907625,650.7394254803658,0.0001677459252285,0.0001237113770137
247,7,200,10,inf,kron_alt,2,2,0.66,4.0,0.35,10,47252,0.0059065,652.0934796519578,0.0001883432459582,3.892068104764069e-05
248,8,200,10,inf,kron_alt,2,2,0.66,4.0,0.35,10,47263,0.005907875,651.4668957591057,0.0004606211628972,4.71167849211423e-05
249,9,200,10,inf,kron_alt,2,2,0.66,4.0,0.35,10,47262,0.00590775,652.2221053168178,0.0001141438944576,0.0008946266786554
250,0,200,15,inf,kron_alt,2,2,0.66,4.0,0.4,10,79283,0.009910375,914.5915212146938,5.920042171081269e-05,0.0012471845166695
251,1,200,15,inf,kron_alt,2,2,0.66,4.0,0.4,10,79278,0.00990975,922.8843954578042,0.0003885523878939,0.0016197731792881
252,2,200,15,inf,kron_alt,2,2,0.66,4.0,0.4,10,79274,0.00990925,914.369785061106,0.0004304951918385,0.001070569691437
253,3,200,15,inf,kron_alt,2,2,0.66,4.0,0.4,10,79282,0.00991025,917.0293295606972,0.0001436322049327,0.0004657496465607
254,4,200,15,inf,kron_alt,2,2,0.66,4.0,0.4,10,79263,0.009907875,913.8416159749032,5.918305056530707e-05,0.0008274276233838
255,5,200,15,inf,kron_alt,2,2,0.66,4.0,0.4,10,79276,0.0099095,917.5144931916147,9.02009147493215e-05,0.0031108463064429
256,6,200,15,inf,kron_alt,2,2,0.66,4.0,0.4,10,79276,0.0099095,918.3643912356348,0.0003514968759062,0.0037001230846324
257,7,200,15,inf,kron_alt,2,2,0.66,4.0,0.4,10,79276,0.0099095,922.017483184114,0.0018306821045466,0.0002837561771286
258,8,200,15,inf,kron_alt,2,2,0.66,4.0,0.4,10,79288,0.009911,907.4820864591748,0.0007271399343794,0.002586625792929
259,9,200,15,inf,kron_alt,2,2,0.66,4.0,0.4,10,79273,0.009909125,927.7462793663144,7.941262669725112e-05,0.0012346717879253
260,0,200,10,inf,kron_alt,2,2,0.66,4.0,0.49,10,62960,0.00787,653.2547542583197,0.0001002054209026,1.6765718243024475e-06
261,1,200,10,inf,kron_alt,2,2,0.66,4.0,0.49,10,62961,0.007870125,654.8480017911643,0.0004486529711666,5.334765657310403e-07
262,2,200,10,inf,kron_alt,2,2,0.66,4.0,0.49,10,62962,0.00787025,654.1103747095913,0.000249185589186,1.2343009070556884e-06
263,3,200,10,inf,kron_alt,2,2,0.66,4.0,0.49,10,62967,0.007870875,652.2210518680513,8.182836497368015e-05,4.386699539523079e-05
264,4,200,10,inf,kron_alt,2,2,0.66,4.0,0.49,10,62971,0.007871375,652.5520844068378,2.156634124163266e-05,0.0001252427347314
265,5,200,10,inf,kron_alt,2,2,0.66,4.0,0.49,10,62954,0.00786925,655.4556738380343,3.595503870336085e-05,1.6985288330410617e-05
266,6,200,10,inf,kron_alt,2,2,0.66,4.0,0.49,10,62968,0.007871,656.6668725199997,4.194815057051932e-05,2.404687363715547e-06
267,7,200,10,inf,kron_alt,2,2,0.66,4.0,0.49,10,62975,0.007871875,654.8716017026454,2.944668388867565e-05,1.7147786223918942e-06
268,8,200,10,inf,kron_alt,2,2,0.66,4.0,0.49,10,62964,0.0078705,655.1254897024482,4.113000081578439e-05,9.809123311267824e-07
269,9,200,10,inf,kron_alt,2,2,0.66,4.0,0.49,10,62974,0.00787175,651.1726475115865,0.0012025209535497,1.2473983111246572e-06
270,0,200,15,inf,kron_alt,2,2,0.66,4.0,0.1,10,28810,0.00360125,935.4679938722402,0.0233496655153986,400.2341817450071
271,1,200,15,inf,kron_alt,2,2,0.66,4.0,0.1,10,28822,0.00360275,928.8191028814764,0.021984077218568,302.6471731711345
272,2,200,15,inf,kron_alt,2,2,0.66,4.0,0.1,10,28819,0.003602375,928.4485711157322,0.0326617669776085,124.03660823958992
273,3,200,15,inf,kron_alt,2,2,0.66,4.0,0.1,10,28818,0.00360225,927.7768291570246,0.0224243496897604,148.4061251646302
274,4,200,15,inf,kron_alt,2,2,0.66,4.0,0.1,10,28812,0.0036015,914.4188409876078,0.0140399875769976,2418.9005697860057
275,5,200,15,inf,kron_alt,2,2,0.66,4.0,0.1,10,28814,0.00360175,923.8943226486444,0.0351161322655157,208.05677563929348
276,6,200,15,inf,kron_alt,2,2,0.66,4.0,0.1,10,28822,0.00360275,930.7618881817908,0.0295627887778814,469.38561708336977
277,7,200,15,inf,kron_alt,2,2,0.66,4.0,0.1,10,28825,0.003603125,923.4934732522815,0.0211689973774646,454.410000771304
278,8,200,15,inf,kron_alt,2,2,0.66,4.0,0.1,10,28825,0.003603125,937.5949322823436,0.0751103388858607,284.6710628442149
279,9,200,15,inf,kron_alt,2,2,0.66,4.0,0.1,10,28819,0.003602375,920.872132671997,0.0124687443610643,45.55828218391054
280,0,200,5,inf,kron_alt,2,2,0.66,4.0,1.4,10,82562,0.01032025,464.1309768580832,0.0006781533898308,2.200627301895141e-10
281,1,200,5,inf,kron_alt,2,2,0.66,4.0,1.4,10,82562,0.01032025,449.89817194407806,9.640340070000228e-06,4.0367264746639457e-10
282,2,200,5,inf,kron_alt,2,2,0.66,4.0,1.4,10,82563,0.010320375,466.4060291186906,7.300666742925298e-05,2.0587596156629287e-10
283,3,200,5,inf,kron_alt,2,2,0.66,4.0,1.4,10,82563,0.010320375,456.5702575710602,2.17753909984704e-05,3.034392658545508e-10
284,4,200,5,inf,kron_alt,2,2,0.66,4.0,1.4,10,82562,0.01032025,472.9828631016426,0.0001190370722585,3.4770033089671137e-10
285,5,200,5,inf,kron_alt,2,2,0.66,4.0,1.4,10,82562,0.01032025,469.7659694841132,0.0002022795915412,2.2953502047636187e-10
286,6,200,5,inf,kron_alt,2,2,0.66,4.0,1.4,10,82562,0.01032025,463.6389775243588,2.8730566274173827e-05,2.647801539603132e-10
287,7,200,5,inf,kron_alt,2,2,0.66,4.0,1.4,10,82568,0.010321,467.2715854700655,9.65851415921284e-06,1.8734571646248329e-10
288,8,200,5,inf,kron_alt,2,2,0.66,4.0,1.4,10,82562,0.01032025,443.8155821431428,1.3944280547173352e-05,1.4744629573052438e-10
289,9,200,5,inf,kron_alt,2,2,0.66,4.0,1.4,10,82562,0.01032025,473.1073850747198,0.0002563712627373,1.6877382369295408e-10
290,0,200,15,inf,kron_alt,2,2,0.66,4.0,0.35,10,70872,0.008859,1538.907344592968,0.0006599946564029,0.0095385135579089
291,1,200,15,inf,kron_alt,2,2,0.66,4.0,0.35,10,70869,0.008858625,1530.7199202849297,8.954166824327758e-05,0.0068240089638328
292,2,200,15,inf,kron_alt,2,2,0.66,4.0,0.35,10,70855,0.008856875,1606.5451585529372,0.0023169966085699,0.0244946651218373
293,3,200,15,inf,kron_alt,2,2,0.66,4.0,0.35,10,70871,0.008858875,1573.7785022319297,0.0010076581086125,0.005962438539011
294,4,200,15,inf,kron_alt,2,2,0.66,4.0,0.35,10,70846,0.00885575,1606.578292546095,0.0002611817640725,0.0057865233442176
295,5,200,15,inf,kron_alt,2,2,0.66,4.0,0.35,10,70869,0.008858625,1548.7740774180274,0.0001397052466595,0.0120864497905786
296,6,200,15,inf,kron_alt,2,2,0.66,4.0,0.35,10,70860,0.0088575,1553.4007896169787,0.0001486291652979,0.0093646604534447
297,7,200,15,inf,kron_alt,2,2,0.66,4.0,0.35,10,70854,0.00885675,1558.2292610530276,0.0004034612746179,0.0063279979703497
298,8,200,15,inf,kron_alt,2,2,0.66,4.0,0.35,10,70869,0.008858625,1541.4542226000922,0.0001617502361398,0.0050532736649346
299,9,200,15,inf,kron_alt,2,2,0.66,4.0,0.35,10,70869,0.008858625,1543.269860425964,0.0046311017635644,0.0096044577004873
300,0,200,20,inf,kron_alt,2,2,0.66,4.0,0.035,10,23846,0.00298075,1512.944507881999,0.0644059804994446,8072.2163057477665
301,1,200,20,inf,kron_alt,2,2,0.66,4.0,0.035,10,23846,0.00298075,1527.7959672566503,0.0633866001307423,6839.556898438614
302,2,200,20,inf,kron_alt,2,2,0.66,4.0,0.035,10,23843,0.002980375,1524.2015732191503,0.071319398393358,15219.87968343304
303,3,200,20,inf,kron_alt,2,2,0.66,4.0,0.035,10,23841,0.002980125,1530.83826947771,0.1535091973255644,4143.270477291008
304,4,200,20,inf,kron_alt,2,2,0.66,4.0,0.035,10,23843,0.002980375,1554.8442989159375,0.1126191991786745,589325.607561762
305,5,200,20,inf,kron_alt,2,2,0.66,4.0,0.035,10,23843,0.002980375,1537.8703854717314,0.1217549568438635,2380.116774234252
306,6,200,20,inf,kron_alt,2,2,0.66,4.0,0.035,10,23837,0.002979625,1555.089172936976,0.0679975247540974,3025.375590386839
307,7,200,20,inf,kron_alt,2,2,0.66,4.0,0.035,10,23840,0.00298,1532.1196757853031,0.1459125731285906,4915.827562448898
308,8,200,20,inf,kron_alt,2,2,0.66,4.0,0.035,10,23844,0.0029805,1531.5509727802128,0.0464241267732062,4147.077142025251
309,9,200,20,inf,kron_alt,2,2,0.66,4.0,0.035,10,23853,0.002981625,1559.182352241129,0.0933136053340131,2874.18158696592
310,0,200,5,inf,kron_alt,2,2,0.66,4.0,0.42,10,27568,0.003446,524.738987442106,0.0001176053934043,8.268775251214701e-06
311,1,200,5,inf,kron_alt,2,2,0.66,4.0,0.42,10,27570,0.00344625,523.8022541310638,2.262966133785496e-05,8.780052264121278e-06
312,2,200,5,inf,kron_alt,2,2,0.66,4.0,0.42,10,27559,0.003444875,520.0042499992996,0.0002395456099446,1.16077194608376e-05
313,3,200,5,inf,kron_alt,2,2,0.66,4.0,0.42,10,27559,0.003444875,511.50043344311416,0.0001537806005053,9.359962138480904e-06
314,4,200,5,inf,kron_alt,2,2,0.66,4.0,0.42,10,27569,0.003446125,522.9723508059978,2.0804588898278777e-05,3.0759854348381816e-05
315,5,200,5,inf,kron_alt,2,2,0.66,4.0,0.42,10,27568,0.003446,523.8808666579425,0.0001816256907476,0.0201402972018138
316,6,200,5,inf,kron_alt,2,2,0.66,4.0,0.42,10,27568,0.003446,523.1653724592179,7.797721586427607e-05,4.810395965935414e-06
317,7,200,5,inf,kron_alt,2,2,0.66,4.0,0.42,10,27571,0.003446375,522.3320859428495,5.785258280237886e-05,5.032040736837912e-05
318,8,200,5,inf,kron_alt,2,2,0.66,4.0,0.42,10,27565,0.003445625,522.4009030181915,0.0002213650994679,9.70508724406422e-06
319,9,200,5,inf,kron_alt,2,2,0.66,4.0,0.42,10,27566,0.00344575,521.8689060863107,2.979507190680208e-05,0.0182809978477981
320,0,200,10,inf,kron_alt,2,2,0.66,4.0,0.28,10,39407,0.004925875,656.0759637989104,0.0020949150501949,0.0017516842263535
321,1,200,10,inf,kron_alt,2,2,0.66,4.0,0.28,10,39406,0.00492575,654.8858996219933,0.0001010233439445,0.0088124363137624
322,2,200,10,inf,kron_alt,2,2,0.66,4.0,0.28,10,39410,0.00492625,656.1705712974072,0.0001029276922408,0.0042068959932731
323,3,200,10,inf,kron_alt,2,2,0.66,4.0,0.28,10,39405,0.004925625,655.0253791473806,0.0002849256832327,0.0064214435195956
324,4,200,10,inf,kron_alt,2,2,0.66,4.0,0.28,10,39398,0.00492475,657.6636274214834,0.0012506975843156,0.0104689967411068
325,5,200,10,inf,kron_alt,2,2,0.66,4.0,0.28,10,39412,0.0049265,657.6934091001749,0.0042778502445819,0.0119961991685495
326,6,200,10,inf,kron_alt,2,2,0.66,4.0,0.28,10,39402,0.00492525,655.7281312849373,0.0006552986592598,0.0034243262511683
327,7,200,10,inf,kron_alt,2,2,0.66,4.0,0.28,10,39411,0.004926375,654.030893439427,0.0001532403841872,0.0006138281114069
328,8,200,10,inf,kron_alt,2,2,0.66,4.0,0.28,10,39397,0.004924625,654.8311490956694,0.0002283729933116,0.0215200243217793
329,9,200,10,inf,kron_alt,2,2,0.66,4.0,0.28,10,39415,0.004926875,654.6912160106003,0.0002887393700991,0.0110017096434449
330,0,200,20,inf,kron_alt,2,2,0.66,4.0,0.21,10,63089,0.007886125,1866.1262683812529,0.0012456921842479,6394.812238010163
331,1,200,20,inf,kron_alt,2,2,0.66,4.0,0.21,10,63055,0.007881875,1875.8155915085224,0.0009835057543859,876.4056526468191
332,2,200,20,inf,kron_alt,2,2,0.66,4.0,0.21,10,63074,0.00788425,1849.233572969213,0.0027539461413461,654.0138518447237
333,3,200,20,inf,kron_alt,2,2,0.66,4.0,0.21,10,63061,0.007882625,1819.2366075329485,0.0014582468910894,1642.5096359637205
334,4,200,20,inf,kron_alt,2,2,0.66,4.0,0.21,10,63071,0.007883875,1856.372913567349,0.0017151797531247,158.78291994743765
335,5,200,20,inf,kron_alt,2,2,0.66,4.0,0.21,10,63074,0.00788425,1836.0265824608505,0.0018559835376617,162.7115558235382
336,6,200,20,inf,kron_alt,2,2,0.66,4.0,0.21,10,63076,0.0078845,1872.8496931064876,0.0015758718385447,148.78293042700986
337,7,200,20,inf,kron_alt,2,2,0.66,4.0,0.21,10,63085,0.007885625,1839.0939797591416,0.0015651858239719,296.94453405526434
338,8,200,20,inf,kron_alt,2,2,0.66,4.0,0.21,10,63058,0.00788225,1864.5155434105543,0.0013745208481063,524.2466626322785
339,9,200,20,inf,kron_alt,2,2,0.66,4.0,0.21,10,63071,0.007883875,1846.076575398445,0.0016416879963766,371.548713071629
340,0,200,10,inf,kron_alt,2,2,0.66,4.0,0.14,10,23705,0.002963125,665.5183673109859,0.0556290321804039,1.4603765998563925
341,1,200,10,inf,kron_alt,2,2,0.66,4.0,0.14,10,23712,0.002964,668.4805547297001,0.0177961968486882,2.76673277066761
342,2,200,10,inf,kron_alt,2,2,0.66,4.0,0.14,10,23708,0.0029635,669.2108864597976,0.0089021327529624,4.567887868678943
343,3,200,10,inf,kron_alt,2,2,0.66,4.0,0.14,10,23704,0.002963,667.1431561168283,0.0137126805162159,9.894386272448196
344,4,200,10,inf,kron_alt,2,2,0.66,4.0,0.14,10,23706,0.00296325,664.3384477645159,0.0061878225846254,8.706228940865818
345,5,200,10,inf,kron_alt,2,2,0.66,4.0,0.14,10,23709,0.002963625,664.9934285990894,0.0095871687998217,8.157778804634013
346,6,200,10,inf,kron_alt,2,2,0.66,4.0,0.14,10,23705,0.002963125,665.5679198950529,0.0182210066027321,13.671436514494877
347,7,200,10,inf,kron_alt,2,2,0.66,4.0,0.14,10,23699,0.002962375,664.2190883848816,0.0121879862513952,5.217206157218439
348,8,200,10,inf,kron_alt,2,2,0.66,4.0,0.14,10,23699,0.002962375,664.8118778131902,0.0309443286758795,2.20177448885363
349,9,200,10,inf,kron_alt,2,2,0.66,4.0,0.14,10,23703,0.002962875,661.8564383666962,0.0131416809475901,73.73284830414742
350,0,200,5,inf,kron_alt,2,2,0.66,4.0,1.26,10,74707,0.009338375,503.59782143868506,0.0001820658371548,4.5124256659650546e-10
351,1,200,5,inf,kron_alt,2,2,0.66,4.0,1.26,10,74706,0.00933825,498.3711649365723,7.685929671096267e-06,3.0419747662140957e-10
352,2,200,5,inf,kron_alt,2,2,0.66,4.0,1.26,10,74704,0.009338,495.6421308796853,0.002040850111441,3.8476225560383227e-10
353,3,200,5,inf,kron_alt,2,2,0.66,4.0,1.26,10,74713,0.009339125,497.51008534245193,0.0001466605098347,5.026831979097036e-10
354,4,200,5,inf,kron_alt,2,2,0.66,4.0,1.26,10,74711,0.009338875,498.3776136040688,0.0004080951012758,5.374464981511141e-10
355,5,200,5,inf,kron_alt,2,2,0.66,4.0,1.26,10,74710,0.00933875,496.8935376871377,1.469705869707569e-05,1.8737945419104203e-09
356,6,200,5,inf,kron_alt,2,2,0.66,4.0,1.26,10,74703,0.009337875,494.7093257959932,0.0001034902923759,5.465804591154923e-10
357,7,200,5,inf,kron_alt,2,2,0.66,4.0,1.26,10,74709,0.009338625,504.9885994158685,0.0002701801962414,5.837482669164011e-09
358,8,200,5,inf,kron_alt,2,2,0.66,4.0,1.26,10,74707,0.009338375,503.2748189549893,2.19588398337416e-05,3.628351115678501e-10
359,9,200,5,inf,kron_alt,2,2,0.66,4.0,1.26,10,74704,0.009338,502.96600527875125,3.391710453949683e-05,5.712679316437741e-10
360,0,200,10,inf,kron_alt,2,2,0.66,4.0,0.63,10,78670,0.00983375,641.5759953726083,0.0001681190500551,6.639106160822647e-08
361,1,200,10,inf,kron_alt,2,2,0.66,4.0,0.63,10,78678,0.00983475,633.5340673793107,0.0003084211246825,5.594870426007177e-06
362,2,200,10,inf,kron_alt,2,2,0.66,4.0,0.63,10,78676,0.0098345,636.4856895394623,3.735225952696188e-05,6.157153288132895e-08
363,3,200,10,inf,kron_alt,2,2,0.66,4.0,0.63,10,78667,0.009833375,640.9757426530123,5.058163557593774e-05,8.656720080681448e-08
364,4,200,10,inf,kron_alt,2,2,0.66,4.0,0.63,10,78667,0.009833375,637.8620481174439,0.0002744080799512,7.665389463947309e-07
365,5,200,10,inf,kron_alt,2,2,0.66,4.0,0.63,10,78671,0.009833875,635.9425917360932,3.780982306687581e-05,1.3342047013783698e-07
366,6,200,10,inf,kron_alt,2,2,0.66,4.0,0.63,10,78671,0.009833875,638.698339920491,0.0001192339140124,2.47460934127847e-07
367,7,200,10,inf,kron_alt,2,2,0.66,4.0,0.63,10,78663,0.009832875,636.0277190506458,2.558065428991908e-05,9.415742004596689e-08
368,8,200,10,inf,kron_alt,2,2,0.66,4.0,0.63,10,78669,0.009833625,632.684881914407,5.370466755685303e-05,1.6273029305295314e-07
369,9,200,10,inf,kron_alt,2,2,0.66,4.0,0.63,10,78665,0.009833125,640.374559732154,2.765645897252481e-05,9.163241399614207e-08
370,0,200,10,inf,kron_alt,2,2,0.66,4.0,0.07,10,15849,0.001981125,688.459595438093,0.042479538083875,130.99397825071944
371,1,200,10,inf,kron_alt,2,2,0.66,4.0,0.07,10,15833,0.001979125,688.4743939954787,0.0695849465804562,272.672460063036
372,2,200,10,inf,kron_alt,2,2,0.66,4.0,0.07,10,15850,0.00198125,688.2885868716985,0.2584783688840257,353.54438190668725
373,3,200,10,inf,kron_alt,2,2,0.66,4.0,0.07,10,15852,0.0019815,684.8216466195881,0.0337559927199162,397.5307694983051
374,4,200,10,inf,kron_alt,2,2,0.66,4.0,0.07,10,15855,0.001981875,694.6289492864162,0.1036457550169356,1195.112165413222
375,5,200,10,inf,kron_alt,2,2,0.66,4.0,0.07,10,15856,0.001982,703.7969877533615,0.0398094369914266,27.94226866007701
376,6,200,10,inf,kron_alt,2,2,0.66,4.0,0.07,10,15855,0.001981875,707.0537833888084,0.0482234733453914,35.38752765650712
377,7,200,10,inf,kron_alt,2,2,0.66,4.0,0.07,10,15848,0.001981,684.6470665670931,0.150457239365978,210.2180564071373
378,8,200,10,inf,kron_alt,2,2,0.66,4.0,0.07,10,15851,0.001981375,684.3634578194469,0.1920366729249002,27.04548859962607
379,9,200,10,inf,kron_alt,2,2,0.66,4.0,0.07,10,15850,0.00198125,684.1883787214756,0.0662618157361274,1186.9901325192004
380,0,200,5,inf,kron_alt,2,2,0.66,4.0,0.28,10,19713,0.002464125,530.4836654216051,5.865137761386669e-05,0.0205506093480142
381,1,200,5,inf,kron_alt,2,2,0.66,4.0,0.28,10,19709,0.002463625,531.187218381092,0.0001758329199781,0.0178448246704455
382,2,200,5,inf,kron_alt,2,2,0.66,4.0,0.28,10,19705,0.002463125,530.675675066188,0.0002847946607176,0.0276572478380101
383,3,200,5,inf,kron_alt,2,2,0.66,4.0,0.28,10,19710,0.00246375,530.7460085563362,0.0007412625802439,0.0008200808283096
384,4,200,5,inf,kron_alt,2,2,0.66,4.0,0.28,10,19715,0.002464375,531.8947664666921,3.8172185269593415e-05,0.0216484297670803
