,trial,n,r,SNR,mode,slices,alpha,beta,delta,gamma,max_iter,time,rel_error_sandwich,matrix budget,total budget,revealed,rel_error_post_als,rel_error_just_als
105,5,200,15,60,sand_als,2,2,0.66,4.0,0.32,100,796.4575053751469,0.0002859743358788,26949,65825,0.008228125,0.0001003302812214,0.0613484345473087
106,6,200,15,60,sand_als,2,2,0.66,4.0,0.32,100,867.9312402363867,0.0001145273443123,26949,65801,0.008225125,4.545504870346471e-05,0.0628860800549334
107,7,200,15,60,sand_als,2,2,0.66,4.0,0.32,100,886.1395848821849,0.0008842913605824,26949,65814,0.00822675,0.0003539111587804,0.0606357706736164
108,8,200,15,60,sand_als,2,2,0.66,4.0,0.32,100,790.1130873616785,5.3470851363014376e-05,26949,65823,0.008227875,1.868678038043592e-05,0.0636871494964973
109,9,200,15,60,sand_als,2,2,0.66,4.0,0.32,100,809.1084033101797,0.0001470215593382,26949,65812,0.0082265,2.739751054923962e-05,0.0574984201197811
110,0,200,10,30,sand_als,2,2,0.66,4.0,0.32,100,594.3341251350939,0.001568022628283,17966,43899,0.005487375,0.0006043521574278,0.0757305251558911
111,1,200,10,30,sand_als,2,2,0.66,4.0,0.32,100,586.6037663724273,0.0010895657632311,17966,43894,0.00548675,0.0001196404500436,0.0796555263423978
112,2,200,10,30,sand_als,2,2,0.66,4.0,0.32,100,590.0746174156666,0.0010118735334932,17966,43895,0.005486875,0.000119612997724,0.0793466606084662
113,3,200,10,30,sand_als,2,2,0.66,4.0,0.32,100,592.3240021895617,0.0014213468184664,17966,43897,0.005487125,0.0001982043492709,0.0714724043004095
114,4,200,10,30,sand_als,2,2,0.66,4.0,0.32,100,586.2333836238831,0.0010049277851855,17966,43899,0.005487375,0.0001124183592037,0.0745502591855366
115,5,200,10,30,sand_als,2,2,0.66,4.0,0.32,100,591.7548402715474,0.0015587944869626,17966,43902,0.00548775,0.0002966043683734,0.0724583211138544
116,6,200,10,30,sand_als,2,2,0.66,4.0,0.32,100,593.0043963044882,0.001000407910219,17966,43901,0.005487625,0.0001222297450162,0.0778596864733569
117,7,200,10,30,sand_als,2,2,0.66,4.0,0.32,100,580.4851622227579,0.001005495673295,17966,43896,0.005487,0.0001013472332224,0.075160278402346
118,8,200,10,30,sand_als,2,2,0.66,4.0,0.32,100,590.9028893429786,0.0010016458278032,17966,43890,0.00548625,0.0001140855862501,0.0778717611570439
119,9,200,10,30,sand_als,2,2,0.66,4.0,0.32,100,572.3809407521039,0.001017831602925,17966,43887,0.005485875,0.000105754499713,0.0744796615185508
120,0,200,10,20,sand_als,2,2,0.66,4.0,0.32,100,751.3206946160644,0.010007849362392,17966,43900,0.0054875,0.0010902175206993,0.0749255791242613
121,1,200,10,20,sand_als,2,2,0.66,4.0,0.32,100,737.9229048844427,0.0100229751466907,17966,43886,0.00548575,0.0010673726036727,0.0724967793073998
122,2,200,10,20,sand_als,2,2,0.66,4.0,0.32,100,737.7625208888203,0.0099995254199035,17966,43893,0.005486625,0.0011079138794887,0.0818412257891975
123,3,200,10,20,sand_als,2,2,0.66,4.0,0.32,100,739.098770160228,0.0100002086292989,17966,43903,0.005487875,0.0011392050525503,0.0702114636483366
124,4,200,10,20,sand_als,2,2,0.66,4.0,0.32,100,739.1625963039696,0.0100000692058688,17966,43884,0.0054855,0.0011041243967436,0.0750808673379093
125,5,200,10,20,sand_als,2,2,0.66,4.0,0.32,100,741.9172130059451,0.0100123253701775,17966,43891,0.005486375,0.0010457279735715,0.077747478647229
126,6,200,10,20,sand_als,2,2,0.66,4.0,0.32,100,741.3211518637836,0.0100037662925649,17966,43893,0.005486625,0.0012096988883414,0.0815983977065648
127,7,200,10,20,sand_als,2,2,0.66,4.0,0.32,100,739.67622278817,0.0099997709036919,17966,43892,0.0054865,0.0011551737567802,0.0768944723520887
128,8,200,10,20,sand_als,2,2,0.66,4.0,0.32,100,741.0839581601322,0.0099996613739546,17966,43899,0.005487375,0.0011177591026971,0.0787293618666106
129,9,200,10,20,sand_als,2,2,0.66,4.0,0.32,100,738.4620899520814,0.0100019918112184,17966,43898,0.00548725,0.0011953229099236,0.0763346618429437
130,0,200,20,30,sand_als,2,2,0.66,4.0,0.32,100,691.6055777799338,0.0010138320137723,35932,87715,0.010964375,0.0001861053736877,0.0549142346702192
131,1,200,20,30,sand_als,2,2,0.66,4.0,0.32,100,694.3605430684984,0.0019745973209707,35932,87727,0.010965875,0.0002639728174583,0.0535818361059549
132,2,200,20,30,sand_als,2,2,0.66,4.0,0.32,100,687.7497185263783,0.0010231259174946,35932,87713,0.010964125,0.000191182921574,0.0570681421829819
133,3,200,20,30,sand_als,2,2,0.66,4.0,0.32,100,690.8776679281145,0.0011537639837037,35932,87711,0.010963875,0.0002324636976969,0.0510637200755002
134,4,200,20,30,sand_als,2,2,0.66,4.0,0.32,100,696.5549809876829,0.0010168066248044,35932,87723,0.010965375,0.0001981870970626,0.0525612614177264
135,5,200,20,30,sand_als,2,2,0.66,4.0,0.32,100,695.282091293484,0.001007894666582,35932,87723,0.010965375,0.0001858340638959,0.0536126115894314
136,6,200,20,30,sand_als,2,2,0.66,4.0,0.32,100,693.0749609638005,0.0013889055803201,35932,87728,0.010966,0.000288405956543,0.0521897717108425
137,7,200,20,30,sand_als,2,2,0.66,4.0,0.32,100,691.5611601490527,0.0012108039709436,35932,87718,0.01096475,0.0003316293053986,0.0519926974037588
138,8,200,20,30,sand_als,2,2,0.66,4.0,0.32,100,687.7464354280382,0.0011361688101856,35932,87723,0.010965375,0.0002613521984081,0.056832959960754
139,9,200,20,30,sand_als,2,2,0.66,4.0,0.32,100,693.961294490844,0.0010027622514265,35932,87718,0.01096475,0.0001823223820541,0.0555502383178806
140,0,200,15,30,sand_als,2,2,0.66,4.0,0.32,100,723.6875989045948,0.0011938300632036,26949,65804,0.0082255,0.0001983816221879,0.0612127043805942
141,1,200,15,30,sand_als,2,2,0.66,4.0,0.32,100,727.2017190121114,0.0010042913107649,26949,65814,0.00822675,0.0001561466413263,0.0626382285525447
142,2,200,15,30,sand_als,2,2,0.66,4.0,0.32,100,713.6963576637208,0.0010184734367245,26949,65814,0.00822675,0.0001739532905913,0.0609985596528863
143,3,200,15,30,sand_als,2,2,0.66,4.0,0.32,100,715.7344280127436,0.0010155328616006,26949,65817,0.008227125,0.0001540884230357,0.0645347693678365
144,4,200,15,30,sand_als,2,2,0.66,4.0,0.32,100,721.5248838867992,0.0010773531571266,26949,65830,0.00822875,0.0002023309208825,0.0634760298481642
145,5,200,15,30,sand_als,2,2,0.66,4.0,0.32,100,720.1089400909841,0.0010123029511517,26949,65809,0.008226125,0.0001753936654456,0.0592282870150745
146,6,200,15,30,sand_als,2,2,0.66,4.0,0.32,100,719.2472255825996,0.0010877717290097,26949,65809,0.008226125,0.0001688807184844,0.063410632812797
